year,month,state,gender,value,unit,note
2036,October,Arunachal Pradesh,Male,262,value in Thousands,
2036,October,Arunachal Pradesh,Female,233,value in Thousands,
2036,October,Andhra Pradesh,Total,24486,value in Thousands,
2036,October,Andhra Pradesh,Male,12323,value in Thousands,
2036,October,Andhra Pradesh,Female,12163,value in Thousands,
2036,October,Andaman and Nicobar Islands,Total,214,value in Thousands,
2036,October,Andaman and Nicobar Islands,Male,114,value in Thousands,
2036,October,Andaman and Nicobar Islands,Female,100,value in Thousands,
2036,October,All India,Total,599048,value in Thousands,
2036,October,All India,Male,310997,value in Thousands,
2036,October,All India,Female,288051,value in Thousands,
2036,March,West Bengal,Total,43658,value in Thousands,
2036,March,West Bengal,Male,22458,value in Thousands,
2036,March,West Bengal,Female,21200,value in Thousands,
2036,March,Uttarakhand,Total,5449,value in Thousands,
2036,March,Uttarakhand,Male,2892,value in Thousands,
2036,March,Uttarakhand,Female,2557,value in Thousands,
2036,March,Uttar Pradesh,Total,67081,value in Thousands,
2036,March,Uttar Pradesh,Male,35418,value in Thousands,
2036,March,Uttar Pradesh,Female,31663,value in Thousands,
2036,March,Tripura,Total,2460,value in Thousands,
2036,March,Tripura,Male,1247,value in Thousands,
2036,March,Tripura,Female,1213,value in Thousands,
2036,March,Telangana,Total,22733,value in Thousands,
2036,March,Telangana,Male,11441,value in Thousands,
2036,March,Telangana,Female,11292,value in Thousands,
2036,March,Tamil Nadu,Total,46554,value in Thousands,
2036,March,Tamil Nadu,Male,23277,value in Thousands,
2036,March,Tamil Nadu,Female,23277,value in Thousands,
2036,March,Sikkim,Total,566,value in Thousands,
2036,March,Sikkim,Male,296,value in Thousands,
2036,March,Sikkim,Female,270,value in Thousands,
2036,March,Rajasthan,Total,25765,value in Thousands,
2036,March,Rajasthan,Male,13461,value in Thousands,
2036,March,Rajasthan,Female,12304,value in Thousands,
2036,March,Punjab,Total,15227,value in Thousands,
2036,March,Punjab,Male,8121,value in Thousands,
2036,March,Punjab,Female,7106,value in Thousands,
2036,March,Puducherry,Total,1568,value in Thousands,
2036,March,Puducherry,Male,768,value in Thousands,
2036,March,Puducherry,Female,800,value in Thousands,
2036,March,Odisha,Total,10434,value in Thousands,
2036,March,Odisha,Male,5401,value in Thousands,
2036,March,Odisha,Female,5033,value in Thousands,
2036,March,Nagaland,Total,1581,value in Thousands,
2036,March,Nagaland,Male,829,value in Thousands,
2036,March,Nagaland,Female,752,value in Thousands,
2036,March,Mizoram,Total,791,value in Thousands,
2036,March,Mizoram,Male,396,value in Thousands,
2036,March,Mizoram,Female,395,value in Thousands,
2036,March,Meghalaya,Total,784,value in Thousands,
2036,March,Meghalaya,Male,392,value in Thousands,
2036,March,Meghalaya,Female,392,value in Thousands,
2036,March,Manipur,Total,1274,value in Thousands,
2036,March,Manipur,Male,629,value in Thousands,
2036,March,Manipur,Female,645,value in Thousands,
2036,March,Maharashtra,Total,71225,value in Thousands,
2036,March,Maharashtra,Male,37428,value in Thousands,
2036,March,Maharashtra,Female,33797,value in Thousands,
2036,March,Madhya Pradesh,Total,29730,value in Thousands,
2036,March,Madhya Pradesh,Male,15501,value in Thousands,
2036,March,Madhya Pradesh,Female,14229,value in Thousands,
2036,March,Lakshadweep,Total,71,value in Thousands,
2036,March,Lakshadweep,Male,37,value in Thousands,
2036,March,Lakshadweep,Female,34,value in Thousands,
2036,March,Ladakh,Total,129,value in Thousands,
2036,March,Ladakh,Male,85,value in Thousands,
2036,March,Ladakh,Female,44,value in Thousands,
2036,March,Kerala,Total,35630,value in Thousands,
2036,March,Kerala,Male,17040,value in Thousands,
2036,March,Kerala,Female,18590,value in Thousands,
2036,March,Karnataka,Total,36511,value in Thousands,
2036,March,Karnataka,Male,18600,value in Thousands,
2036,March,Karnataka,Female,17911,value in Thousands,
2036,March,Jharkhand,Total,12816,value in Thousands,
2036,March,Jharkhand,Male,6710,value in Thousands,
2036,March,Jharkhand,Female,6106,value in Thousands,
2036,March,Jammu and Kashmir,Total,5005,value in Thousands,
2036,March,Jammu and Kashmir,Male,2710,value in Thousands,
2036,March,Jammu and Kashmir,Female,2295,value in Thousands,
2036,March,Himachal Pradesh,Total,827,value in Thousands,
2036,March,Himachal Pradesh,Male,446,value in Thousands,
2036,March,Himachal Pradesh,Female,381,value in Thousands,
2036,March,Haryana,Total,17094,value in Thousands,
2036,March,Haryana,Male,9127,value in Thousands,
2036,March,Haryana,Female,7967,value in Thousands,
2036,March,Gujarat,Total,44717,value in Thousands,
2036,March,Gujarat,Male,23786,value in Thousands,
2036,March,Gujarat,Female,20931,value in Thousands,
2036,March,Goa,Total,1467,value in Thousands,
2036,March,Goa,Male,750,value in Thousands,
2036,March,Goa,Female,717,value in Thousands,
2036,March,Delhi,Total,26591,value in Thousands,
2036,March,Delhi,Male,14235,value in Thousands,
2036,March,Delhi,Female,12356,value in Thousands,
2036,March,Daman and Diu,Total,1955,value in Thousands,
2036,March,Daman and Diu,Male,1659,value in Thousands,
2036,March,Daman and Diu,Female,296,value in Thousands,
2036,March,Dadra and Nagar Haveli,Total,1374,value in Thousands,
2036,March,Dadra and Nagar Haveli,Male,817,value in Thousands,
2036,March,Dadra and Nagar Haveli,Female,557,value in Thousands,
2036,March,Chhattisgarh,Total,10660,value in Thousands,
2036,March,Chhattisgarh,Male,5450,value in Thousands,
2036,March,Chhattisgarh,Female,5210,value in Thousands,
2036,March,Chandigarh,Total,1360,value in Thousands,
2036,March,Chandigarh,Male,746,value in Thousands,
2036,March,Chandigarh,Female,614,value in Thousands,
2036,March,Bihar,Total,19741,value in Thousands,
2036,March,Bihar,Male,10417,value in Thousands,
2036,March,Bihar,Female,9324,value in Thousands,
2036,March,Assam,Total,6762,value in Thousands,
2036,March,Assam,Male,3475,value in Thousands,
2036,March,Assam,Female,3287,value in Thousands,
2036,March,Arunachal Pradesh,Total,491,value in Thousands,
2036,March,Arunachal Pradesh,Male,260,value in Thousands,
2036,March,Arunachal Pradesh,Female,231,value in Thousands,
2036,March,Andhra Pradesh,Total,24272,value in Thousands,
2036,March,Andhra Pradesh,Male,12215,value in Thousands,
2036,March,Andhra Pradesh,Female,12057,value in Thousands,
2036,March,Andaman and Nicobar Islands,Total,213,value in Thousands,
2036,March,Andaman and Nicobar Islands,Male,114,value in Thousands,
2036,March,Andaman and Nicobar Islands,Female,99,value in Thousands,
2036,March,All India,Total,594566,value in Thousands,
2036,March,All India,Male,308634,value in Thousands,
2036,March,All India,Female,285932,value in Thousands,
2036,July,West Bengal,Total,43831,value in Thousands,
2036,July,West Bengal,Male,22547,value in Thousands,
2036,July,West Bengal,Female,21284,value in Thousands,
2036,July,Uttarakhand,Total,5481,value in Thousands,
2036,July,Uttarakhand,Male,2909,value in Thousands,
2036,July,Uttarakhand,Female,2572,value in Thousands,
2036,July,Uttar Pradesh,Total,67324,value in Thousands,
2036,July,Uttar Pradesh,Male,35546,value in Thousands,
2036,July,Uttar Pradesh,Female,31778,value in Thousands,
2036,July,Tripura,Total,2482,value in Thousands,
2036,July,Tripura,Male,1258,value in Thousands,
2036,July,Tripura,Female,1224,value in Thousands,
2036,July,Telangana,Total,22733,value in Thousands,
2036,July,Telangana,Male,11441,value in Thousands,
2036,July,Telangana,Female,11292,value in Thousands,
2036,July,Tamil Nadu,Total,46675,value in Thousands,
2036,July,Tamil Nadu,Male,23337,value in Thousands,
2036,July,Tamil Nadu,Female,23337,value in Thousands,
2036,July,Sikkim,Total,572,value in Thousands,
2036,July,Sikkim,Male,299,value in Thousands,
2036,July,Sikkim,Female,273,value in Thousands,
2036,July,Rajasthan,Total,25870,value in Thousands,
2036,July,Rajasthan,Male,13516,value in Thousands,
2036,July,Rajasthan,Female,12354,value in Thousands,
2036,July,Punjab,Total,15284,value in Thousands,
2036,July,Punjab,Male,8152,value in Thousands,
2036,July,Punjab,Female,7133,value in Thousands,
2036,July,Puducherry,Total,1579,value in Thousands,
2036,July,Puducherry,Male,773,value in Thousands,
2036,July,Puducherry,Female,806,value in Thousands,
2036,July,Odisha,Total,10476,value in Thousands,
2036,July,Odisha,Male,5422,value in Thousands,
2036,July,Odisha,Female,5054,value in Thousands,
2036,July,Nagaland,Total,1595,value in Thousands,
2036,July,Nagaland,Male,836,value in Thousands,
2036,July,Nagaland,Female,759,value in Thousands,
2036,July,Mizoram,Total,794,value in Thousands,
2036,July,Mizoram,Male,397,value in Thousands,
2036,July,Mizoram,Female,397,value in Thousands,
2036,July,Meghalaya,Total,787,value in Thousands,
2036,July,Meghalaya,Male,393,value in Thousands,
2036,July,Meghalaya,Female,394,value in Thousands,
2036,July,Manipur,Total,1280,value in Thousands,
2036,July,Manipur,Male,632,value in Thousands,
2036,July,Manipur,Female,648,value in Thousands,
2036,July,Maharashtra,Total,71462,value in Thousands,
2036,July,Maharashtra,Male,37552,value in Thousands,
2036,July,Maharashtra,Female,33910,value in Thousands,
2036,July,Madhya Pradesh,Total,29840,value in Thousands,
2036,July,Madhya Pradesh,Male,15558,value in Thousands,
2036,July,Madhya Pradesh,Female,14282,value in Thousands,
2036,July,Lakshadweep,Total,71,value in Thousands,
2036,July,Lakshadweep,Male,37,value in Thousands,
2036,July,Lakshadweep,Female,34,value in Thousands,
2036,July,Ladakh,Total,130,value in Thousands,
2036,July,Ladakh,Male,85,value in Thousands,
2036,July,Ladakh,Female,45,value in Thousands,
2036,July,Kerala,Total,35803,value in Thousands,
2036,July,Kerala,Male,17123,value in Thousands,
2036,July,Kerala,Female,18681,value in Thousands,
2036,July,Karnataka,Total,36671,value in Thousands,
2036,July,Karnataka,Male,18681,value in Thousands,
2036,July,Karnataka,Female,17990,value in Thousands,
2036,July,Jharkhand,Total,12877,value in Thousands,
2036,July,Jharkhand,Male,6742,value in Thousands,
2036,July,Jharkhand,Female,6135,value in Thousands,
2036,July,Jammu and Kashmir,Total,5026,value in Thousands,
2036,July,Jammu and Kashmir,Male,2721,value in Thousands,
2036,July,Jammu and Kashmir,Female,2305,value in Thousands,
2036,July,Himachal Pradesh,Total,829,value in Thousands,
2036,July,Himachal Pradesh,Male,447,value in Thousands,
2036,July,Himachal Pradesh,Female,381,value in Thousands,
2036,July,Haryana,Total,17207,value in Thousands,
2036,July,Haryana,Male,9187,value in Thousands,
2036,July,Haryana,Female,8020,value in Thousands,
2036,July,Gujarat,Total,44964,value in Thousands,
2036,July,Gujarat,Male,23917,value in Thousands,
2036,July,Gujarat,Female,21047,value in Thousands,
2036,July,Goa,Total,1473,value in Thousands,
2036,July,Goa,Male,753,value in Thousands,
2036,July,Goa,Female,720,value in Thousands,
2036,July,Delhi,Total,26727,value in Thousands,
2036,July,Delhi,Male,14308,value in Thousands,
2036,July,Delhi,Female,12419,value in Thousands,
2036,July,Daman and Diu,Total,2011,value in Thousands,
2036,July,Daman and Diu,Male,1710,value in Thousands,
2036,July,Daman and Diu,Female,301,value in Thousands,
2036,July,Dadra and Nagar Haveli,Total,1404,value in Thousands,
2036,July,Dadra and Nagar Haveli,Male,835,value in Thousands,
2036,July,Dadra and Nagar Haveli,Female,569,value in Thousands,
2036,July,Chhattisgarh,Total,10723,value in Thousands,
2036,July,Chhattisgarh,Male,5482,value in Thousands,
2036,July,Chhattisgarh,Female,5241,value in Thousands,
2036,July,Chandigarh,Total,1362,value in Thousands,
2036,July,Chandigarh,Male,748,value in Thousands,
2036,July,Chandigarh,Female,615,value in Thousands,
2036,July,Bihar,Total,19844,value in Thousands,
2036,July,Bihar,Male,10472,value in Thousands,
2036,July,Bihar,Female,9372,value in Thousands,
2036,July,Assam,Total,6792,value in Thousands,
2036,July,Assam,Male,3490,value in Thousands,
2036,July,Assam,Female,3302,value in Thousands,
2036,July,Arunachal Pradesh,Total,494,value in Thousands,
2036,July,Arunachal Pradesh,Male,261,value in Thousands,
2036,July,Arunachal Pradesh,Female,232,value in Thousands,
2036,July,Andhra Pradesh,Total,24393,value in Thousands,
2036,July,Andhra Pradesh,Male,12276,value in Thousands,
2036,July,Andhra Pradesh,Female,12117,value in Thousands,
2036,July,Andaman and Nicobar Islands,Total,213,value in Thousands,
2036,July,Andaman and Nicobar Islands,Male,114,value in Thousands,
2036,July,Andaman and Nicobar Islands,Female,99,value in Thousands,
2036,July,All India,Total,597079,value in Thousands,
2036,July,All India,Male,309957,value in Thousands,
2036,July,All India,Female,287122,value in Thousands,
2035,October,West Bengal,Total,43438,value in Thousands,
2035,October,West Bengal,Male,22345,value in Thousands,
2035,October,West Bengal,Female,21094,value in Thousands,
2035,October,Uttarakhand,Total,5408,value in Thousands,
2035,October,Uttarakhand,Male,2870,value in Thousands,
2035,October,Uttarakhand,Female,2537,value in Thousands,
2035,October,Uttar Pradesh,Total,66772,value in Thousands,
2035,October,Uttar Pradesh,Male,35255,value in Thousands,
2035,October,Uttar Pradesh,Female,31518,value in Thousands,
2035,October,Tripura,Total,2433,value in Thousands,
2035,October,Tripura,Male,1233,value in Thousands,
2035,October,Tripura,Female,1200,value in Thousands,
2035,October,Telangana,Total,22485,value in Thousands,
2035,October,Telangana,Male,11316,value in Thousands,
2035,October,Telangana,Female,11169,value in Thousands,
2035,October,Tamil Nadu,Total,46402,value in Thousands,
2035,October,Tamil Nadu,Male,23201,value in Thousands,
2035,October,Tamil Nadu,Female,23201,value in Thousands,
2035,October,Sikkim,Total,559,value in Thousands,
2035,October,Sikkim,Male,292,value in Thousands,
2035,October,Sikkim,Female,267,value in Thousands,
2035,October,Rajasthan,Total,25633,value in Thousands,
2035,October,Rajasthan,Male,13392,value in Thousands,
2035,October,Rajasthan,Female,12240,value in Thousands,
2035,October,Punjab,Total,15154,value in Thousands,
2035,October,Punjab,Male,8082,value in Thousands,
2035,October,Punjab,Female,7072,value in Thousands,
2035,October,Puducherry,Total,1554,value in Thousands,
2035,October,Puducherry,Male,761,value in Thousands,
2035,October,Puducherry,Female,793,value in Thousands,
2035,October,Odisha,Total,10381,value in Thousands,
2035,October,Odisha,Male,5373,value in Thousands,
2035,October,Odisha,Female,5008,value in Thousands,
2035,October,Nagaland,Total,1563,value in Thousands,
2035,October,Nagaland,Male,819,value in Thousands,
2035,October,Nagaland,Female,744,value in Thousands,
2035,October,Mizoram,Total,788,value in Thousands,
2035,October,Mizoram,Male,394,value in Thousands,
2035,October,Mizoram,Female,394,value in Thousands,
2035,October,Meghalaya,Total,782,value in Thousands,
2035,October,Meghalaya,Male,391,value in Thousands,
2035,October,Meghalaya,Female,391,value in Thousands,
2035,October,Manipur,Total,1267,value in Thousands,
2035,October,Manipur,Male,625,value in Thousands,
2035,October,Manipur,Female,642,value in Thousands,
2035,October,Maharashtra,Total,70925,value in Thousands,
2035,October,Maharashtra,Male,37270,value in Thousands,
2035,October,Maharashtra,Female,33655,value in Thousands,
2035,October,Madhya Pradesh,Total,29592,value in Thousands,
2035,October,Madhya Pradesh,Male,15428,value in Thousands,
2035,October,Madhya Pradesh,Female,14163,value in Thousands,
2035,October,Lakshadweep,Total,71,value in Thousands,
2035,October,Lakshadweep,Male,37,value in Thousands,
2035,October,Lakshadweep,Female,34,value in Thousands,
2035,October,Ladakh,Total,128,value in Thousands,
2035,October,Ladakh,Male,84,value in Thousands,
2035,October,Ladakh,Female,44,value in Thousands,
2035,October,Kerala,Total,35448,value in Thousands,
2035,October,Kerala,Male,16952,value in Thousands,
2035,October,Kerala,Female,18495,value in Thousands,
2035,October,Karnataka,Total,36308,value in Thousands,
2035,October,Karnataka,Male,18496,value in Thousands,
2035,October,Karnataka,Female,17812,value in Thousands,
2035,October,Jharkhand,Total,12739,value in Thousands,
2035,October,Jharkhand,Male,6669,value in Thousands,
2035,October,Jharkhand,Female,6069,value in Thousands,
2035,October,Jammu and Kashmir,Total,4978,value in Thousands,
2035,October,Jammu and Kashmir,Male,2695,value in Thousands,
2035,October,Jammu and Kashmir,Female,2283,value in Thousands,
2035,October,Himachal Pradesh,Total,826,value in Thousands,
2035,October,Himachal Pradesh,Male,446,value in Thousands,
2035,October,Himachal Pradesh,Female,380,value in Thousands,
2035,October,Haryana,Total,16950,value in Thousands,
2035,October,Haryana,Male,9050,value in Thousands,
2035,October,Haryana,Female,7900,value in Thousands,
2035,October,Gujarat,Total,44403,value in Thousands,
2035,October,Gujarat,Male,23619,value in Thousands,
2035,October,Gujarat,Female,20784,value in Thousands,
2035,October,Goa,Total,1459,value in Thousands,
2035,October,Goa,Male,746,value in Thousands,
2035,October,Goa,Female,713,value in Thousands,
2035,October,Delhi,Total,26421,value in Thousands,
2035,October,Delhi,Male,14144,value in Thousands,
2035,October,Delhi,Female,12277,value in Thousands,
2035,October,Daman and Diu,Total,1886,value in Thousands,
2035,October,Daman and Diu,Male,1596,value in Thousands,
2035,October,Daman and Diu,Female,290,value in Thousands,
2035,October,Dadra and Nagar Haveli,Total,1335,value in Thousands,
2035,October,Dadra and Nagar Haveli,Male,794,value in Thousands,
2035,October,Dadra and Nagar Haveli,Female,541,value in Thousands,
2035,October,Chhattisgarh,Total,10579,value in Thousands,
2035,October,Chhattisgarh,Male,5408,value in Thousands,
2035,October,Chhattisgarh,Female,5170,value in Thousands,
2035,October,Chandigarh,Total,1356,value in Thousands,
2035,October,Chandigarh,Male,744,value in Thousands,
2035,October,Chandigarh,Female,612,value in Thousands,
2035,October,Bihar,Total,19611,value in Thousands,
2035,October,Bihar,Male,10349,value in Thousands,
2035,October,Bihar,Female,9262,value in Thousands,
2035,October,Assam,Total,6725,value in Thousands,
2035,October,Assam,Male,3456,value in Thousands,
2035,October,Assam,Female,3269,value in Thousands,
2035,October,Arunachal Pradesh,Total,489,value in Thousands,
2035,October,Arunachal Pradesh,Male,258,value in Thousands,
2035,October,Arunachal Pradesh,Female,230,value in Thousands,
2035,October,Andhra Pradesh,Total,24118,value in Thousands,
2035,October,Andhra Pradesh,Male,12138,value in Thousands,
2035,October,Andhra Pradesh,Female,11980,value in Thousands,
2035,October,Andaman and Nicobar Islands,Total,212,value in Thousands,
2035,October,Andaman and Nicobar Islands,Male,113,value in Thousands,
2035,October,Andaman and Nicobar Islands,Female,99,value in Thousands,
2035,October,All India,Total,591173,value in Thousands,
2035,October,All India,Male,306841,value in Thousands,
2035,October,All India,Female,284332,value in Thousands,
2035,March,West Bengal,Total,43131,value in Thousands,
2035,March,West Bengal,Male,22187,value in Thousands,
2035,March,West Bengal,Female,20944,value in Thousands,
2035,March,Uttarakhand,Total,5350,value in Thousands,
2035,March,Uttarakhand,Male,2840,value in Thousands,
2035,March,Uttarakhand,Female,2510,value in Thousands,
2035,March,Uttar Pradesh,Total,66340,value in Thousands,
2035,March,Uttar Pradesh,Male,35026,value in Thousands,
2035,March,Uttar Pradesh,Female,31314,value in Thousands,
2035,March,Tripura,Total,2394,value in Thousands,
2035,March,Tripura,Male,1213,value in Thousands,
2035,March,Tripura,Female,1181,value in Thousands,
2035,March,Telangana,Total,22402,value in Thousands,
2035,March,Telangana,Male,11274,value in Thousands,
2035,March,Telangana,Female,11128,value in Thousands,
2035,March,Tamil Nadu,Total,46188,value in Thousands,
2035,March,Tamil Nadu,Male,23094,value in Thousands,
2035,March,Tamil Nadu,Female,23094,value in Thousands,
2035,March,Sikkim,Total,549,value in Thousands,
2035,March,Sikkim,Male,287,value in Thousands,
2035,March,Sikkim,Female,262,value in Thousands,
2035,March,Rajasthan,Total,25447,value in Thousands,
2035,March,Rajasthan,Male,13295,value in Thousands,
2035,March,Rajasthan,Female,12152,value in Thousands,
2035,March,Punjab,Total,15051,value in Thousands,
2035,March,Punjab,Male,8027,value in Thousands,
2035,March,Punjab,Female,7024,value in Thousands,
2035,March,Puducherry,Total,1534,value in Thousands,
2035,March,Puducherry,Male,751,value in Thousands,
2035,March,Puducherry,Female,783,value in Thousands,
2035,March,Odisha,Total,10306,value in Thousands,
2035,March,Odisha,Male,5334,value in Thousands,
2035,March,Odisha,Female,4972,value in Thousands,
2035,March,Nagaland,Total,1538,value in Thousands,
2035,March,Nagaland,Male,806,value in Thousands,
2035,March,Nagaland,Female,732,value in Thousands,
2035,March,Mizoram,Total,784,value in Thousands,
2035,March,Mizoram,Male,392,value in Thousands,
2035,March,Mizoram,Female,392,value in Thousands,
2035,March,Meghalaya,Total,778,value in Thousands,
2035,March,Meghalaya,Male,389,value in Thousands,
2035,March,Meghalaya,Female,389,value in Thousands,
2035,March,Manipur,Total,1257,value in Thousands,
2035,March,Manipur,Male,620,value in Thousands,
2035,March,Manipur,Female,637,value in Thousands,
2035,March,Maharashtra,Total,70505,value in Thousands,
2035,March,Maharashtra,Male,37049,value in Thousands,
2035,March,Maharashtra,Female,33456,value in Thousands,
2035,March,Madhya Pradesh,Total,29398,value in Thousands,
2035,March,Madhya Pradesh,Male,15327,value in Thousands,
2035,March,Madhya Pradesh,Female,14071,value in Thousands,
2035,March,Lakshadweep,Total,71,value in Thousands,
2035,March,Lakshadweep,Male,37,value in Thousands,
2035,March,Lakshadweep,Female,34,value in Thousands,
2035,March,Ladakh,Total,127,value in Thousands,
2035,March,Ladakh,Male,83,value in Thousands,
2035,March,Ladakh,Female,44,value in Thousands,
2035,March,Kerala,Total,35192,value in Thousands,
2035,March,Kerala,Male,16830,value in Thousands,
2035,March,Kerala,Female,18362,value in Thousands,
2035,March,Karnataka,Total,36024,value in Thousands,
2035,March,Karnataka,Male,18352,value in Thousands,
2035,March,Karnataka,Female,17672,value in Thousands,
2035,March,Jharkhand,Total,12630,value in Thousands,
2035,March,Jharkhand,Male,6613,value in Thousands,
2035,March,Jharkhand,Female,6017,value in Thousands,
2035,March,Jammu and Kashmir,Total,4939,value in Thousands,
2035,March,Jammu and Kashmir,Male,2674,value in Thousands,
2035,March,Jammu and Kashmir,Female,2265,value in Thousands,
2035,March,Himachal Pradesh,Total,824,value in Thousands,
2035,March,Himachal Pradesh,Male,445,value in Thousands,
2035,March,Himachal Pradesh,Female,379,value in Thousands,
2035,March,Haryana,Total,16748,value in Thousands,
2035,March,Haryana,Male,8942,value in Thousands,
2035,March,Haryana,Female,7806,value in Thousands,
2035,March,Gujarat,Total,43963,value in Thousands,
2035,March,Gujarat,Male,23385,value in Thousands,
2035,March,Gujarat,Female,20578,value in Thousands,
2035,March,Goa,Total,1448,value in Thousands,
2035,March,Goa,Male,740,value in Thousands,
2035,March,Goa,Female,708,value in Thousands,
2035,March,Delhi,Total,26183,value in Thousands,
2035,March,Delhi,Male,14017,value in Thousands,
2035,March,Delhi,Female,12166,value in Thousands,
2035,March,Daman and Diu,Total,1789,value in Thousands,
2035,March,Daman and Diu,Male,1507,value in Thousands,
