year,week,outbreak_starting_date,reporting_date,state,district,disease_illness_name,status,cases,deaths,unit,note
2025,15,06-04-2025,07-04-2025,Odisha,Ganjam,Measles,Reported,14,0,"cases in absolute number, deaths in absolute number",
2025,15,12-04-2025,13-04-2025,Odisha,Khordha,Acute Diarrheal Disease,Reported,142,0,"cases in absolute number, deaths in absolute number",
2025,15,09-04-2025,09-04-2025,Sikkim,Gyalshing,Acute Diarrheal Disease,Reported,7,0,"cases in absolute number, deaths in absolute number",
2025,15,12-04-2025,12-04-2025,Tamil Nadu,Erode,Mumps,Reported,13,0,"cases in absolute number, deaths in absolute number",
2025,15,08-04-2025,08-04-2025,Tamil Nadu,Pudukkottai,Acute Diarrheal Disease,Reported,93,0,"cases in absolute number, deaths in absolute number",
2025,15,11-04-2025,12-04-2025,Tamil Nadu,Sivaganga,Hepatitis A,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,15,09-04-2025,12-04-2025,Tamil Nadu,Tenkasi,Hepatitis A and E,Reported,8,0,"cases in absolute number, deaths in absolute number",
2025,15,08-04-2025,09-04-2025,Tamil Nadu,Thanjavur,Acute Diarrheal Disease,Reported,99,0,"cases in absolute number, deaths in absolute number",
2025,15,08-04-2025,11-04-2025,Uttar Pradesh,Gautam Buddha Nagar,Acute Diarrheal Disease,Reported,100,0,"cases in absolute number, deaths in absolute number",
2025,15,05-04-2025,08-04-2025,Uttarakhand,Dehradun,Hepatitis A,Reported late,8,0,"cases in absolute number, deaths in absolute number",
2025,15,24-03-2025,,Andhra Pradesh,Konaseema,Hepatitis B and C,Reported late,306,0,"cases in absolute number, deaths in absolute number",
2025,15,11-03-2025,,Jammu and Kashmir,Shopian,Hepatitis A,Reported late,7,0,"cases in absolute number, deaths in absolute number",
2025,15,13-03-2025,,Meghalaya,North Garo Hills,Typhoid,Reported late,15,0,"cases in absolute number, deaths in absolute number",
2025,14,05-04-2025,05-04-2025,Assam,Biswanath,Food Poisoning,Reported,18,0,"cases in absolute number, deaths in absolute number",
2025,14,03-04-2025,04-04-2025,Bihar,Aurangabad,Fever with Rash,Reported,21,0,"cases in absolute number, deaths in absolute number",
2025,14,31-03-2025,04-04-2025,Bihar,Madhubani,Chickenpox,Reported,14,0,"cases in absolute number, deaths in absolute number",
2025,14,03-04-2025,04-04-2025,Gujarat,Bhavnagar,Food Poisoning,Reported,20,0,"cases in absolute number, deaths in absolute number",
2025,14,01-04-2025,01-04-2025,Gujarat,Vadodara,Acute Diarrheal Disease,Reported,20,0,"cases in absolute number, deaths in absolute number",
2025,14,31-03-2025,31-03-2025,Haryana,Yamunanagar,Food Poisoning,Reported,104,0,"cases in absolute number, deaths in absolute number",
2025,14,05-04-2025,05-04-2025,Jharkhand,East Singhbum,Chickenpox,Reported,8,0,"cases in absolute number, deaths in absolute number",
2025,14,03-04-2025,03-04-2025,Jharkhand,Giridih,Chickenpox,Reported,13,0,"cases in absolute number, deaths in absolute number",
2025,14,04-04-2025,04-04-2025,Karnataka,Chikballapur,Hepatitis A,Reported,8,0,"cases in absolute number, deaths in absolute number",
2025,14,31-03-2025,04-04-2025,Kerala,Kottayam,Food Poisoning,Reported,22,0,"cases in absolute number, deaths in absolute number",
2025,14,04-04-2025,05-04-2025,Kerala,Palakkad,Leishmaniasis,Reported,1,0,"cases in absolute number, deaths in absolute number",
2025,14,03-04-2025,03-04-2025,Kerala,Palakkad,Hepatitis A,Reported,27,0,"cases in absolute number, deaths in absolute number",
2025,14,04-04-2025,04-04-2025,Kerala,Pathanamthitta,Food Poisoning,Reported,43,0,"cases in absolute number, deaths in absolute number",
2025,14,30-03-2025,02-04-2025,Kerala,Thrissur,Acute Diarrheal Disease,Reported,78,0,"cases in absolute number, deaths in absolute number",
2025,14,01-04-2025,01-04-2025,Madhya Pradesh,Rewa,Acute Diarrheal Disease,Reported,19,0,"cases in absolute number, deaths in absolute number",
2025,14,04-04-2025,04-04-2025,Meghalaya,North Garo Hills,Measles,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,14,30-03-2025,31-03-2025,Meghalaya,West Jaintia Hills,Food Poisoning,Reported,32,0,"cases in absolute number, deaths in absolute number",
2025,14,04-04-2025,04-04-2025,Odisha,Anugul,Acute Diarrheal Disease,Reported,81,0,"cases in absolute number, deaths in absolute number",
2025,14,03-04-2025,04-04-2025,Odisha,Bhadrak,Hepatitis A,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,14,03-04-2025,04-04-2025,Odisha,Mayurbhanj,Food Poisoning,Reported,66,0,"cases in absolute number, deaths in absolute number",
2025,14,04-04-2025,05-04-2025,Odisha,Sambalpur,Acute Diarrheal Disease,Reported,24,0,"cases in absolute number, deaths in absolute number",
2025,14,03-04-2025,03-04-2025,Puducherry,Pondicherry,Typhoid,Reported,20,0,"cases in absolute number, deaths in absolute number",
2025,14,04-04-2025,05-04-2025,Tamil Nadu,Erode,Mumps,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,14,02-04-2025,03-04-2025,Tamil Nadu,Kallakurichi,Hepatitis A,Reported,24,0,"cases in absolute number, deaths in absolute number",
2025,14,02-04-2025,02-04-2025,Tamil Nadu,Kallakurichi,Chickenpox,Reported,11,0,"cases in absolute number, deaths in absolute number",
2025,14,01-04-2025,02-04-2025,Tamil Nadu,Sivaganga,Mumps,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,14,29-03-2025,31-03-2025,Tamil Nadu,Sivaganga,Hepatitis A,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,14,04-04-2025,05-04-2025,Tamil Nadu,Thiruvallur,Dengue,Reported,11,0,"cases in absolute number, deaths in absolute number",
2025,14,05-04-2025,05-04-2025,Tamil Nadu,Tiruchirappalli,Mumps,Reported,7,0,"cases in absolute number, deaths in absolute number",
2025,14,02-04-2025,03-04-2025,Tamil Nadu,Virudhunagar,Hepatitis A,Reported,21,0,"cases in absolute number, deaths in absolute number",
2025,14,31-03-2025,01-04-2025,Uttarakhand,Dehradun,Food Poisoning,Reported,383,0,"cases in absolute number, deaths in absolute number",
2025,14,31-03-2025,03-04-2025,Uttarakhand,Haridwar,Food Poisoning,Reported,34,0,"cases in absolute number, deaths in absolute number",
2025,14,02-04-2025,02-04-2025,West Bengal,Purba Barshaman,Acute Diarrheal Disease,Reported,23,0,"cases in absolute number, deaths in absolute number",
2025,14,30-01-2025,,Bihar,Purbi Champaran,Fever with Rash,Reported Late,6,0,"cases in absolute number, deaths in absolute number",
2025,14,27-03-2025,,Manipur,Churachandpur,Human Rabies,Reported Late,3,3,"cases in absolute number, deaths in absolute number",
2025,14,27-03-2025,,Odisha,Koraput,Measles,Reported Late,21,0,"cases in absolute number, deaths in absolute number",
2025,14,15-03-2025,,Uttar Pradesh,Agra,Measles,Reported Late,25,0,"cases in absolute number, deaths in absolute number",
2025,13,29-03-2025,29-03-2025,Assam,Jorhat,Acute Diarrheal Disease,Reported,13,0,"cases in absolute number, deaths in absolute number",
2025,13,29-03-2025,29-03-2025,Assam,Lakhimpur,Food Poisoning,Reported,38,0,"cases in absolute number, deaths in absolute number",
2025,13,20-03-2025,24-03-2025,Bihar,Sitamarhi,Food Poisoning,Reported,40,0,"cases in absolute number, deaths in absolute number",
2025,13,22-03-2025,26-03-2025,Chhattisgarh,Raipur,Typhoid,Reported,13,0,"cases in absolute number, deaths in absolute number",
2025,13,25-03-2025,25-03-2025,Gujarat,Anand,Hepatitis A,Reported,49,0,"cases in absolute number, deaths in absolute number",
2025,13,27-03-2025,28-03-2025,Haryana,Kurukshetra,Acute Diarrheal Disease,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,13,22-03-2025,24-03-2025,Jammu and Kashmir,Ganderbal,Hepatitis A,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,13,27-03-2025,27-03-2025,Jammu and Kashmir,Kulgam,Hepatitis A,Reported,11,0,"cases in absolute number, deaths in absolute number",
2025,13,26-03-2025,26-03-2025,Jharkhand,Bokaro,Fever with Rash,Reported,6,0,"cases in absolute number, deaths in absolute number",
2025,13,23-03-2025,24-03-2025,Jharkhand,Dumka,Chickenpox,Reported,7,0,"cases in absolute number, deaths in absolute number",
2025,13,27-03-2025,28-03-2025,Jharkhand,East Singhbhum,Chickenpox,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,13,25-03-2025,26-03-2025,Jharkhand,Khunti,Chickenpox,Reported,3,0,"cases in absolute number, deaths in absolute number",
2025,13,24-03-2025,24-03-2025,Jharkhand,Khunti,Chickenpox,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,13,25-03-2025,27-03-2025,Jharkhand,Ranchi,Chickenpox,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,13,28-03-2025,28-03-2025,Jharkhand,West Singhbhum,Acute Diarrheal Disease,Reported,20,0,"cases in absolute number, deaths in absolute number",
2025,13,26-03-2025,26-03-2025,Kerala,Ernakulam,Acute Diarrheal Disease,Reported,16,0,"cases in absolute number, deaths in absolute number",
2025,13,27-03-2025,27-03-2025,Kerala,Idukki,Food Poisoning,Reported,55,0,"cases in absolute number, deaths in absolute number",
2025,13,26-03-2025,27-03-2025,Kerala,Idukki,Acute Diarrheal Disease,Reported,42,0,"cases in absolute number, deaths in absolute number",
2025,13,21-03-2025,26-03-2025,Kerala,Kannur,Hepatitis A,Reported,35,0,"cases in absolute number, deaths in absolute number",
2025,13,26-03-2025,26-03-2025,Kerala,Kannur,Hepatitis A,Reported,29,0,"cases in absolute number, deaths in absolute number",
2025,13,27-02-2025,27-03-2025,Kerala,Kozhikode,West Nile Fever,Reported,2,1,"cases in absolute number, deaths in absolute number",
2025,13,24-03-2025,26-03-2025,Kerala,Thrissur,Dengue,Reported,17,0,"cases in absolute number, deaths in absolute number",
2025,13,22-03-2025,24-03-2025,Kerala,Wayanad,Acute Diarrheal Disease,Reported,16,0,"cases in absolute number, deaths in absolute number",
2025,13,27-03-2025,27-03-2025,Madhya,Damoh,Measles,Reported,36,0,"cases in absolute number, deaths in absolute number",
2025,13,25-03-2025,25-03-2025,Madhya,Narsinghpur,Chickenpox,Reported,7,0,"cases in absolute number, deaths in absolute number",
2025,13,26-03-2025,27-03-2025,Odisha,Khordha,Hepatitis A,Reported,0,0,"cases in absolute number, deaths in absolute number",
2025,13,27-03-2025,29-03-2025,Tamil Nadu,Coimbatore,Chickenpox,Reported,22,0,"cases in absolute number, deaths in absolute number",
2025,13,30-03-2025,30-03-2025,Tamil Nadu,Dharmapuri,Chickenpox,Reported,18,0,"cases in absolute number, deaths in absolute number",
2025,13,28-03-2025,29-03-2025,Tamil Nadu,Dindigul,Acute Diarrheal Disease,Reported,51,0,"cases in absolute number, deaths in absolute number",
2025,13,24-03-2025,25-03-2025,Tamil Nadu,Dindigul,Chickenpox,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,13,23-03-2025,25-03-2025,Tamil Nadu,Kanniyakumari,Food Poisoning,Reported,18,0,"cases in absolute number, deaths in absolute number",
2025,13,27-03-2025,28-03-2025,Tamil Nadu,Theni,Chickenpox,Reported,6,0,"cases in absolute number, deaths in absolute number",
2025,13,22-03-2025,28-03-2025,West Bengal,Hooghly,Typhoid,Reported,18,0,"cases in absolute number, deaths in absolute number",
2025,13,27-01-2025,,Andhra Pradesh,Guntur,Cholera,Reported Late,18,0,"cases in absolute number, deaths in absolute number",
2025,13,14-03-2025,,Chhattisgarh,Bilaspur,Measles,Reported Late,31,0,"cases in absolute number, deaths in absolute number",
2025,13,27-02-2025,,Jharkhand,Giridih,Chickenpox,Reported Late,7,0,"cases in absolute number, deaths in absolute number",
2025,13,24-02-2025,,Madhya Pradesh,Rewa,Scrub Typhus,Reported Late,17,0,"cases in absolute number, deaths in absolute number",
2025,13,18-03-2025,,Madhya Pradesh,Shivpuri,Measles,Reported Late,6,0,"cases in absolute number, deaths in absolute number",
2025,13,18-03-2025,,Manipur,Ukhrul,Measles,Reported Late,37,0,"cases in absolute number, deaths in absolute number",
2025,13,18-03-2025,,Meghalaya,South West Garo Hills,Chickenpox,Reported Late,3,0,"cases in absolute number, deaths in absolute number",
2025,12,18-03-2025,18-03-2025,Assam,Bongaigaon,Chickenpox,Reported,8,0,"cases in absolute number, deaths in absolute number",
2025,12,20-03-2025,21-03-2025,Bihar,Begusarai,Fever with Rash,Reported,32,0,"cases in absolute number, deaths in absolute number",
2025,12,21-03-2025,21-03-2025,Bihar,Begusarai,Fever with Rash,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,12,18-03-2025,20-03-2025,Chhattisgarh,Raipur,Typhoid,Reported,11,0,"cases in absolute number, deaths in absolute number",
2025,12,17-03-2025,17-03-2025,Gujarat,Ahmedabad,Cholera,Reported,71,0,"cases in absolute number, deaths in absolute number",
2025,12,18-03-2025,18-03-2025,Gujarat,Jamnagar,Measles,Reported,4,0,"cases in absolute number, deaths in absolute number",
2025,12,16-03-2025,17-03-2025,Gujarat,Patan,Hepatitis A,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,12,22-03-2025,22-03-2025,Jammu and Kashmir,Jammu,HMPV,Reported,1,1,"cases in absolute number, deaths in absolute number",
2025,12,15-03-2025,22-03-2025,Jammu and Kashmir,Jammu,Hepatitis A,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,12,17-03-2025,18-03-2025,Jharkhand,Dumka,Chickenpox,Reported,18,0,"cases in absolute number, deaths in absolute number",
2025,12,22-03-2025,23-03-2025,Jharkhand,East Singhbhum,Chickenpox,Reported,14,0,"cases in absolute number, deaths in absolute number",
2025,12,23-03-2025,23-03-2025,Jharkhand,Sahebganj,Malaria,Reported,67,0,"cases in absolute number, deaths in absolute number",
2025,12,16-03-2025,19-03-2025,Karnataka,Chitradurga,Food Poisoning,Reported,40,0,"cases in absolute number, deaths in absolute number",
2025,12,17-03-2025,18-03-2025,Karnataka,Davangere,Food Poisoning,Reported,24,0,"cases in absolute number, deaths in absolute number",
2025,12,18-03-2025,18-03-2025,Karnataka,Hassan,Acute Diarrheal Disease,Reported,11,0,"cases in absolute number, deaths in absolute number",
2025,12,16-03-2025,17-03-2025,Karnataka,Mandya,Food Poisoning,Reported,128,2,"cases in absolute number, deaths in absolute number",
2025,12,21-03-2025,23-03-2025,Kerala,Ernakulam,Chickenpox,Reported,18,0,"cases in absolute number, deaths in absolute number",
2025,12,15-03-2025,22-03-2025,Kerala,Kannur,Hepatitis A,Reported,40,0,"cases in absolute number, deaths in absolute number",
2025,12,14-03-2025,18-03-2025,Kerala,Kannur,Hepatitis A,Reported,39,0,"cases in absolute number, deaths in absolute number",
2025,12,15-03-2025,21-03-2025,Kerala,Kottayam,Hepatitis A,Reported,9,0,"cases in absolute number, deaths in absolute number",
2025,12,17-03-2025,19-03-2025,Kerala,Kottayam,Acute Diarrheal Disease,Reported,28,0,"cases in absolute number, deaths in absolute number",
2025,12,13-03-2025,18-03-2025,Kerala,Kottayam,Hepatitis A,Reported,21,0,"cases in absolute number, deaths in absolute number",
2025,12,15-03-2025,17-03-2025,Kerala,Kottayam,Acute Diarrheal Disease,Reported,56,0,"cases in absolute number, deaths in absolute number",
2025,12,17-03-2025,20-03-2025,Kerala,Malappuram,Mpox,Reported,1,0,"cases in absolute number, deaths in absolute number",
2025,12,18-03-2025,18-03-2025,Kerala,Wayanad,Hepatitis A,Reported,42,0,"cases in absolute number, deaths in absolute number",
2025,12,13-03-2025,18-03-2025,Madhya Pradesh,Narsinghpur,Mumps,Reported,4,0,"cases in absolute number, deaths in absolute number",
2025,12,17-03-2025,17-03-2025,Maharashtra,Kolhapur,Hepatitis A,Reported,15,1,"cases in absolute number, deaths in absolute number",
2025,12,21-03-2025,22-03-2025,Manipur,Senapati,Others,Reported,52,0,"cases in absolute number, deaths in absolute number",
2025,12,16-03-2025,21-03-2025,Meghalaya,West Khasi Hills,Human Rabies,Reported,1,1,"cases in absolute number, deaths in absolute number",
2025,12,20-03-2025,20-03-2025,Tamil Nadu,Salem,Mumps,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,12,23-03-2025,23-03-2025,Tamil Nadu,Tenkasi,Hepatitis A and E,Reported,13,0,"cases in absolute number, deaths in absolute number",
2025,12,21-03-2025,22-03-2025,Tamil Nadu,Tenkasi,Hepatitis A and E,Reported,9,0,"cases in absolute number, deaths in absolute number",
2025,12,19-03-2025,23-03-2025,Tamil Nadu,Theni,Chickenpox,Reported,6,0,"cases in absolute number, deaths in absolute number",
2025,12,20-03-2025,20-03-2025,Uttarakhand,Dehradun,Hepatitis A,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,12,22-03-2025,22-03-2025,West Bengal,24 Paraganas South,Food Poisoning,Reported,97,0,"cases in absolute number, deaths in absolute number",
2025,12,19-03-2025,21-03-2025,West Bengal,Howrah,Chickenpox,Reported,19,0,"cases in absolute number, deaths in absolute number",
2025,12,17-03-2025,17-03-2025,West Bengal,Medinipur East,Food Poisoning,Reported,80,0,"cases in absolute number, deaths in absolute number",
2025,12,20-03-2025,21-03-2025,West Bengal,Medinipur West,Acute Gastroenteritis,Reported,35,0,"cases in absolute number, deaths in absolute number",
2025,12,19-03-2025,20-03-2025,West Bengal,Purba Bardhaman,Acute Diarrheal Disease,Reported,15,0,"cases in absolute number, deaths in absolute number",
2025,12,11-03-2025,,Assam,Tamulpur,Human Rabies,Reported Late,1,1,"cases in absolute number, deaths in absolute number",
2025,12,06-03-2025,,Jharkhand,Ranchi,Measles,Reported Late,6,0,"cases in absolute number, deaths in absolute number",
2025,12,07-03-2025,,Madhya Pradesh,Bhopal,Measles,Reported Late,7,0,"cases in absolute number, deaths in absolute number",
2025,12,20-02-2025,,Sikkim,Gyalshing,Typhoid,Reported Late,19,0,"cases in absolute number, deaths in absolute number",
2025,11,08-03-2025,13-03-2025,Andhra Pradesh,Parvathipuram Manyam,Acute Diarrheal Disease,Reported,19,0,"cases in absolute number, deaths in absolute number",
2025,11,11-03-2025,11-03-2025,Assam,Barpeta,Fever,Reported,29,0,"cases in absolute number, deaths in absolute number",
2025,11,10-03-2025,11-03-2025,Assam,Charaideo,Mumps,Reported,4,0,"cases in absolute number, deaths in absolute number",
2025,11,13-03-2025,13-03-2025,Assam,Hailakandi,Fever with Rash,Reported,15,0,"cases in absolute number, deaths in absolute number",
2025,11,07-03-2025,10-03-2025,Bihar,Purnia,Acute Diarrheal Disease,Reported,8,0,"cases in absolute number, deaths in absolute number",
2025,11,10-03-2025,10-03-2025,Gujarat,Sabarkantha,Fever with Rash,Reported,7,0,"cases in absolute number, deaths in absolute number",
2025,11,11-03-2025,11-03-2025,Jammu and Kashmir,Badgam,Human Rabies,Reported,1,1,"cases in absolute number, deaths in absolute number",
2025,11,09-03-2025,10-03-2025,Jharkhand,Dumka,Fever with Rash,Reported,8,0,"cases in absolute number, deaths in absolute number",
2025,11,11-03-2025,11-03-2025,Jharkhand,East Singhbum,Chickenpox,Reported,25,0,"cases in absolute number, deaths in absolute number",
