property_name,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating
2 BHK Flat in Sector 81 Gurgaon,flat,signature global city 81,0.96,9767.0,983.0,Carpet area: 1075 (99.87 sq.m.),2,2,2,not available,"Sector 81 Gurgaon, Gurgaon, Haryana",1,NA,Jun 2024,"['Ambience Mall New', 'Dwarka Expressway', 'NH8', ""St. Xavier's High School"", 'Miracles Apollo Cradle', 'Hyatt Regency Gurgaon', 'Nakhrola Stadium']","Signature global city 81 is one of gurgaon's most sought after destination for apartments and this 2 bhk flat in sector 81 gurgaon is your opportunity to be a part of this community. Constructed on a carpet area of 1075 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. This flat is situated on the 1st floor of this 4 floors tall residential building. As the property is currently under construction , you can expect to get the possession by june 2024.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment4.5 out of 5', 'Safety4.5 out of 5', 'Lifestyle4 out of 5', 'Connectivity3.5 out of 5']"
2 BHK Flat in Sohna,flat,hcbs sports ville,0.29,5587.0,519.0,Carpet area: 519 (48.22 sq.m.),2,2,1,not available,"Sohna, Gurgaon, Haryana",4,NA,1 to 5 Year Old,"['The roadside cafe', 'GD Goenka Mess', 'ROyal Kitchen', 'Mithaas Wala', 'Momomia Gurgoan']",Affordable housing in gurgaon and surrounded by green and clean air. Selling off due to relocation.,,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Green Area4 out of 5', 'Amenities4 out of 5', 'Management4 out of 5', 'Construction4 out of 5', 'Connectivity2 out of 5']"
3 BHK Flat in Sector 79 Gurgaon,flat,supertech araville,1.35,6940.0,1945.0,Carpet area: 1945 (180.7 sq.m.),3,3,3,not available,"Sector 79 Gurgaon, Gurgaon, Haryana",4,NA,1 to 5 Year Old,"['Petrol Pump Indian Oil', 'Petrol Pump', 'Rao Dhaba', ""McDonald's""]","Well spacious, nicely built with wooden flooring in master bed room. The location of the house is convenient for school goers and the connectivity is great too.","['1 Water Purifier', '2 Fan', '1 Geyser', '3 Light', '2 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']",,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle3 out of 5', 'Connectivity4 out of 5']"
2 BHK Flat in Sector 33 Gurgaon,flat,godrej,0.95,6859.0,1385.0,Super Built up area 1385(128.67 sq.m.),2,2,3+,not available,"Flat No. :- 301, Sector 33 Gurgaon, Gurgaon, Haryana",3,South-East,Under Construction,,"Its an godrej project nature plus.
On 3rd floor. 1st flat
 Balcony east facing & flat is north facing.
With 4 balconies.
On sec - 33 , sohan road
Front facing flat..
If need more details you can contact me.",,,"['Environment3 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']"
2 BHK Flat in Sector 90 Gurgaon,flat,shree vardhman flora,0.7,5384.0,1300.0,Super Built up area 1300(120.77 sq.m.),2,2,3,study room,"Sector 90 Gurgaon, Gurgaon, Haryana",13,NA,0 to 1 Year Old,"['IRIS Broadway Mall', 'Dwarka Expressway', 'Saraswati Model School', 'SGT University', 'Aarvy Healthcare Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Orchid Business Park', 'Holiday Inn Gurugram Sector 90', 'Flying Wings Badminton Academy']","This 2 bhk apartment is available for sale in shree vardhman flora, one of the most prominent projects for flats in sector 90 gurgaon. Constructed on a super built up area of 1300 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. This flat lies on the top level of a 13 storey building. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.",,"['Intercom Facility', 'Lift(s)', 'Park']","['Green Area5 out of 5', 'Amenities5 out of 5', 'Management4 out of 5', 'Construction5 out of 5', 'Connectivity5 out of 5']"
4 BHK Flat in Sector 108 Gurgaon,flat,sobha city,3.95,16859.0,2343.0,Built Up area: 2343 (217.67 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),4,5,3,not available,"Sector 108, Sector 108 Gurgaon, Gurgaon, Haryana",25,NA,undefined,"['Dwarka Sector 21', 'Dwarka Expressway', 'Vasant Kunj', 'The Shikshiyan School', 'The NorthCap University', 'Rions Hospital', 'IGI Airport', 'Gurgaon', 'WTC Plaza', 'Luxus Haritma Resort', 'Fun N Food WaterPark', 'BSF Golf Course', 'Nehru Stadium']",This is sale property................................. Sobha city sector 108,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Environment4 out of 5', 'Safety4.5 out of 5', 'Lifestyle4.5 out of 5', 'Connectivity4.5 out of 5']"
1 BHK Flat in Sector 62 Gurgaon,flat,senate court,0.9,14084.0,639.0,Built Up area: 639 (59.37 sq.m.),1,1,0,not available,"Senate Court, Sector 62, Gurgaon, Sector 62 Gurgaon, Gurgaon, Haryana",0,NA,undefined,"['Radhakrishna Shani Mandir', 'Sanatan Dharm Mandir', 'Standard chartered ATM', 'Icici bank ATM', 'State bank ATM', 'Vatsalya Clinic', 'Anand Hospital Gurgaon', 'pracksht hospital', 'Kriti Hospital', 'Bones Clinic - Orthopaedics', 'Meher Clinic', 'Surgicare Hospital Gurgaon', 'Skin Clinic', 'Divine Look Clinic Centre', 'Dr. Naresh Pandita', 'Dr. Anuj Sharma', 'Vishesh Dental', 'Neelkanth Health Care', 'Park Hospital Gurgaon', 'Dr. Aruna Kalra', 'Wellness Eye Centre', 'Best Urologist Atcomplete Family Clinic', 'Wembley estate club', 'HUDA Office Complex', 'Medisca', 'Genius', 'Gardian Pharmacy', 'Apollo Pharmacy', 'SPAZE BUSINESS PARK', 'Unitech', 'Hdfc bank', 'Hdfc bank and atm', 'Hdfc bank', 'Hdfc bank', 'Indusind bank', '222', 'Madison and Pike', 'Pizza Hut', 'India', 'Haldiram', 'Kamla International', 'Gurugram University', 'Amity Global School']","Looking for a 1 bhk apartment for sale in gurgaon? Your search ends here. Buy this 1 bhk property in gurgaons finest location, sector 62. This is an owner listed property and there is no brokerage involved. It is on floor 3 out of 7 floors. This apartment is available at a reasonable price of rs 90.0 l. The built up area of this property is 639 square feet. There are 1 bedroom and 1 bathroom. There are a number of reputed schools in the vicinity such as kunskapsskolan eduventures pvt ltd, c r oasis convent senior secondry school, and pardeep mor mamoril school. Medical facility is also close at hand with names like park hospital, artemis hospital gurgaon, and w pratiksha hospital senate court senate court, sector 62, gurgaon",,,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle5 out of 5', 'Connectivity4 out of 5']"
2 BHK Flat in Sector 102 Gurgaon,flat,shapoorji pallonji joyville gurugram,1.05,11475.0,915.0,Carpet area: 915 (85.01 sq.m.),2,2,2,not available,"G04, Sector 102 Gurgaon, Gurgaon, Haryana",0,NA,Mar 2024,"['Khan Market', 'The Esplanade Mall', 'Dwarka Expressway', 'Garhi Road', 'Delhi Public School', 'SGT University', 'Aryan Hospital', 'Indira Gandhi Int. Airport', 'Basai Dhankot', 'The Executive Centre', 'Inde Hotels & Resorts', 'Appu Ghar', 'DLF Golf and Country Club']",New upcoming available in next 6-9 months,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Green Area4 out of 5', 'Amenities5 out of 5', 'Management4 out of 5', 'Construction5 out of 5', 'Connectivity4 out of 5']"
3 BHK Flat in Sector-33 Sohna,flat,central park flower valley,2.2,10476.0,2100.0,Super Built up area 2100(195.1 sq.m.),3,3,3,servant room,"Sector-33 Sohna, Gurgaon, Haryana",12,North-East,0 to 1 Year Old,"['Airia Mall', 'NH 248A', 'NE 4, Haryana', 'GD Goenka Signature School', 'K. R. Mangalam University', 'Lady Florence Convent School Sohna', 'Vardaan Hospital & Trauma Centre', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Country Inn & Suites By Radisson', 'Tau Devilal Stadium Sohna']","This beautiful 3 bhk flat in sector-33 sohna, gurgaon is situated in central park flower valley, one of the popular residential society in gurgaon. The flat is over 2100 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and 3 balconies. The flat has a total of 13 floors and this property is situated on 12th floor. As the project is already ready to move, so you can easily move into this 0-1 year old property.","['1 Wardrobe', '1 Fan', '1 Exhaust Fan', '1 Geyser', '1 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",
2 BHK Flat in Sector 89 Gurgaon,flat,smart world gems,1.01,9156.0,1103.0,Carpet area: 1103 (102.47 sq.m.),2,2,2,study room,"Sector 89 Gurgaon, Gurgaon, Haryana",4,NA,Dec 2025,"['Sant Soordas Sihi Metro Station', 'Airia Mall', 'Dwarka Expressway', 'Pataudi Road', 'NH-8', 'KMP Expressway', 'RPS International School', 'Genesis Hospital Sector 84', 'Gurgaon Railway Station', 'Vatika Business Park Sector 49', 'Holiday Inn Gurugram Sector 90', 'De Adventure Amusement Park', 'National Tennis Academy Sector 98', 'IMT Manesar']",Possession soon . Luxurious flat with terrace and basement,,"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']"
3 BHK Flat in Sector 79 Gurgaon,flat,bestech altura,1.85,8604.0,2150.0,Super Built up area 2150(199.74 sq.m.),3,4,3+,servant room,"Sector 79 Gurgaon, Gurgaon, Haryana",11,North,0 to 1 Year Old,"['Sapphire 83 Mall', 'NH -8', 'Golf Course Extension Road', 'Mount Olympus Junior School', 'Amity University Gurugram', 'Miracles Apollo Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'Savoy Suites, Manesar', 'Golden Greens Golf & Resorts']","This lovely 3 bhk apartment/flat in sector 79 gurgaon is available for sale in one of gurgaon's most popular projects, bestech altura. The flat occupies a super built up area of 2150 sq.Ft. That consists of 3 bedrooms, 4 bathrooms and more than 3 balconies. The residential building has 20 floors in total and the flat for sale is located on the 11th floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.","['5 AC', '1 Chimney', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle3 out of 5', 'Connectivity4 out of 5']"
2 BHK Flat in Sector 89 Gurgaon,flat,smart world gems,0.86,7796.0,1103.0,Super Built up area 1103(102.47 sq.m.),2,3,3,not available,"Sector 89 Gurgaon, Gurgaon, Haryana",4,NA,By 2023,"['Sant Soordas Sihi Metro Station', 'Airia Mall', 'Dwarka Expressway', 'Pataudi Road', 'NH-8', 'KMP Expressway', 'RPS International School', 'Genesis Hospital Sector 84', 'Gurgaon Railway Station', 'Vatika Business Park Sector 49', 'Holiday Inn Gurugram Sector 90', 'De Adventure Amusement Park', 'National Tennis Academy Sector 98', 'IMT Manesar']","We are the proud owners of this 2 bhk apartment available in smart world gems, sector 89 gurgaon, gurgaon. This it is a and the unit is located on 4th floor and has a super built-Up area of 1103 sq.Ft. . It has 3 bathroom(s) and 3 balcony(s). The ownership is freehold type.",[],,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']"
3 BHK Flat in Sector 102 Gurgaon,flat,emaar imperial gardens,1.85,9135.0,2025.0,Carpet area: 2025 (188.13 sq.m.),3,3,3+,servant room,"Sector 102 Gurgaon, Gurgaon, Haryana",0,South-West,1 to 5 Year Old,"['Satya The Hive Mall', 'Gurugram Road', 'Dwarka Expy', 'Gurugram Global Heights School', 'Sunrise University', 'The Signature Super Speciality Hospital', 'Indira Gandhi Intl Airport', 'Basai Dhankot Railway Station', 'Country Inn & Suites by Radisson', 'Nehru Stadium']","Private garden area well maintained
No hassle to wait for lift during rush hours as it's a ground floor. 
Complete sun light 
Able to do bonfire inside the house due to extended balcony area","['5 Wardrobe', '8 Fan', '1 Exhaust Fan', '20 Light', '5 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","['Green Area5 out of 5', 'Amenities5 out of 5', 'Management4.5 out of 5', 'Construction4 out of 5', 'Connectivity3.5 out of 5']"
