property_name,link,society,price,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id
3 BHK Flat in Sector 48 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-city-sector-48-gurgaon-2305-sq-ft-spid-L69749636,Bestech Park View City4.1 ★,2.7 Crore,"₹ 11,713/sq.ft.",Super Built up area 2305(214.14 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3 Bedrooms,3 Bathrooms,3+ Balconies,"Study Room,Servant Room","704, Sector 48 Gurgaon, Gurgaon, Haryana",7th   of 14 Floors,North-East,1 to 5 Year Old,"['Rapid Metro Sector 56', 'Sapphire Mall', 'Omaxe Celebration Mall', 'Footprints: Play School & Day Care', 'The Paras World School', 'VIBGYOR High School', 'Sai Dham Temple', 'PNB ATM', 'Polaris Hospital', 'Park Hospital', 'Indira Gandhi International Airport', 'Bank Of Baroda', 'Indian Post Office', 'Badshahpur Police Station', 'Bharat Petrol Pump']","Looking for a 3 bhk property for sale in gurgaon? Buy this 3 bhk flat in bestech park view city that is situated in sector 48 gurgaon. This is a north-East-Facing property. Containing 3 bedroom(s), 3 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 2305 sq.Ft. This flat lies on the 7th level of a 14 storey building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The beautifully designed marble flooring enhances the beauty of the flat. The society is well equipped with many modern amenities, including swimming pool, security personnel, maintenance staff, club house / community center, fitness centre / gym, park, lift(s), visitor parking, water softening plant and shopping centre. The project provides access to clean water through municipal corporation and borewell/tank supply.","['3 Wardrobe', '1 Water Purifier', '1 Sofa', '1 Exhaust Fan', '5 Geyser', '1 Stove', '5 Light', '1 Chimney', '1 Modular Kitchen', '5 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Microwave', 'No Fridge', 'No TV', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction4 out of 5', 'Management4.5 out of 5', 'Amenities5 out of 5', 'Connectivity5 out of 5']",L69749636
4 BHK Flat in Sector 113 Gurgaon,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-la-vida-by-tata-housing-sector-113-gurgaon-2692-sq-ft-spid-K69821840,La Vida by Tata Housing,3.35 Crore,"₹ 12,444/sq.ft.",Carpet area: 2692 (250.09 sq.m.),4 Bedrooms,4 Bathrooms,3+ Balconies,"Study Room,Servant Room","4 Bhk, Sector 113 Gurgaon , Gurgaon, Haryana",11st   of 25 Floors,North-East,1 to 5 Year Old,"['Dwarka Sector 21', 'Pacific D21 Mall', 'Bajghera Road', 'Dwarka Expy', 'Euro International School, Sector- 109.', 'The NorthCap University', ""Rion's Hospital"", 'Indira Gandhi Intl Airport', 'Bijwasan Railway Station']","Looking for a 4 bhk property for sale in gurgaon? Buy this 4 bhk flat in la vida by tata housing that is situated in sector 113 gurgaon . The flat is facing the north-East direction. Containing 4 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a carpet area of 2692 sq.Ft. The residential building has 25 floors in total and the flat for sale is located on the 11th floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The beautifully designed marble flooring enhances the beauty of the flat. La vida by tata housing is designed very well to provide modern facilities such as swimming pool, club house / community center, cctv surveillance, fitness centre / gym, lift(s), maintenance staff, visitor parking, park, security personnel, water softening plant and shopping centre. The residential project is well equipped to meet all your water needs through access to borewell/tank and municipal corporation supply.","['1 Microwave', '9 AC', '1 Chimney', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,K69821840
3 BHK Flat in Sector 69 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tulip-violet-sector-69-gurgaon-1578-sq-ft-spid-M68587622,Tulip Violet4.2 ★,1.5 Crore,"₹ 10,714/sq.ft.",Super Built up area 1578(146.6 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3 Bedrooms,3 Bathrooms,2 Balconies,Pooja Room,"Sector 69 Gurgaon, Gurgaon, Haryana",8th   of 14 Floors,North-East,1 to 5 Year Old,"['Airia Mall Sector 68', 'Southern Peripheral Road', 'Golf Course Extension Rd', 'Imperio School', 'DPG Institute of Technology', 'Ektaa Hospitals', 'Indira Gandhi International Airport', 'Vipul Trade Business Centre', 'Radisson Hotel Gurugram', 'SkyJumper Trampoline Park']","Tulip violet 3 bhk in sector 69, gurgaon is a ready-To-Move housing society. It offers apartments in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. There are 2bhk, 3bhk and 4bhk apartments available in this project. This housing society is now ready to be called home as families have started moving in. Check out some of the features of tulip violet housing society:
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['4 Wardrobe', '4 Fan', '1 Exhaust Fan', '8 Light', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction4 out of 5', 'Management5 out of 5', 'Amenities5 out of 5', 'Connectivity4.5 out of 5']",M68587622
3 BHK Flat in Sector 81 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-grand-spa-sector-81-gurgaon-2660-sq-ft-spid-R68344512,Bestech Park View Grand Spa4.3 ★,2.2 Crore,"₹ 8,270/sq.ft.",Super Built up area 2660(247.12 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),3 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,"Sector-81, Sector 81 Gurgaon, Gurgaon, Haryana",8th   of 19 Floors,East,1 to 5 Year Old,"['Sapphire 83 Mall', 'NH-8, IMT Manesar', 'Dwarka Expressway', ""St. Xavier's High School"", 'Spectra Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'Hyatt Regency Gurgaon', 'SkyJumper Trampoline Park', 'National Tennis Academy']","Bestech park view grand spa is one of the most popular destination for buying apartments/ flats in sector 81 gurgaon. You too can be a part of this society by purchasing this 3 bhk flat here. This is a east-Facing property. The flat occupies a super built up area of 2660 sq.Ft. That consists of 3 bedrooms, 4 bathrooms and more than 3 balconies. The property is located on the 8th floor of a 19 floors tall building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The flat comes well built with ceramic flooring options. The society is well equipped with many modern amenities, including swimming pool, water softening plant, security personnel, maintenance staff, shopping centre, club house / community center, cctv surveillance, fitness centre / gym, park, lift(s) and visitor parking. The housing society ensures a continuous supply of water to your flat from municipal corporation and borewell/tank.
 Additional details :Piped gas facility is available in the property.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['4 Wardrobe', '1 Water Purifier', '4 Fan', '1 Exhaust Fan', '4 Geyser', '10 Light', '4 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management5 out of 5', 'Amenities5 out of 5', 'Connectivity5 out of 5']",R68344512
4 BHK Flat in Sector 82A Gurgaon,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-primus-sector-82-a-gurgaon-2273-sq-ft-spid-B69550462,DLF The Primus3.9 ★,2.55 Crore,"₹ 11,218/sq.ft.",Super Built up area 2273(211.17 sq.m.)Carpet area: 1340 sq.ft. (124.49 sq.m.),4 Bedrooms,4 Bathrooms,3+ Balconies,,"000, Sector 82A Gurgaon, Gurgaon, Haryana",14th   of 32 Floors,South-West,1 to 5 Year Old,"['Sapphire 83', 'NH 48', 'Cambridge Montessori', 'Miracles Apollo Hospital', 'IGI Airport', 'Garhi Harsaru Junction', 'Hyatt Regency']","Situated in sector 82a gurgaon, dlf the primus is a well planned society that offers a pleasant living experience to its residents. This 4 bhk flat in gurgaon is your opportunity to be a part of this community. Constructed on a super built up area of 2273 sq.Ft., the flat comprises 4 bedroom(s), 4 bathrooms and more than 3 balconies. This flat is situated on the 12th floor of this 32 floors tall residential building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.
 Additional details :Piped gas facility is available in the property.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.","['7 Fan', '1 Fridge', '1 Exhaust Fan', '5 Geyser', '1 Stove', '10 Light', '6 AC', '1 Chimney', '1 Modular Kitchen', '4 Wardrobe', '1 Microwave', '1 Washing Machine', 'No Bed', 'No Curtains', 'No Dining Table', 'No Sofa', 'No TV', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Green Area5 out of 5', 'Construction4.5 out of 5', 'Management4.5 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']",B69550462
2 BHK Flat in Sector 81 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-synera-sector-81-gurgaon-598-sq-ft-spid-V69392696,Signature Global Synera3.4 ★,45 Lac,"₹ 7,525/sq.ft.",Carpet area: 598 (55.56 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,Store Room,"011, Sector 81 Gurgaon, Gurgaon, Haryana",6th   of 14 Floors,North-East,1 to 5 Year Old,"['Sapphire 83 Mall', 'Delhi Jaipur Expressway', 'Dwarka Expressway', 'Agri Business Management Collage', 'Bharat Ram Global School', 'Singhania University, Manesar', 'Aarvy Healthcare Hospital', 'Garhi Harsaru Junction', 'Sphire Edge A N Buildwell', 'Holiday Inn Gurugram Sector 90']","Signature global is india's no.1 affordable housing company and is the only developer providing green certified homes to the owners
Comes under deen dayal jan awas yojana affordable plotted housing policy, 2016
Building with environment-Friendly, non-Toxic material with low maintenance costs resulting in better living conditions
 Additional details :Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.","['3 Wardrobe', '3 Fan', '1 Exhaust Fan', '2 Geyser', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Security Personnel']","['Green Area4 out of 5', 'Construction3 out of 5', 'Management3.5 out of 5', 'Amenities4 out of 5', 'Connectivity3 out of 5']",V69392696
3 BHK Flat in Sector 83 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-gurgaon-21-sector-83-gurgaon-1735-sq-ft-spid-M69428292,Vatika Gurgaon 213.7 ★,1.18 Crore,"₹ 6,801/sq.ft.",Super Built up area 1735(161.19 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3 Bedrooms,3 Bathrooms,2 Balconies,,"Sector 83 Gurgaon, Gurgaon, Haryana",14th   of 18 Floors,North,1 to 5 Year Old,"['Huda Metro Station (Gurugram)', 'Sapphire 83 Mall', 'Vatika Sector Road', 'Gurgaon - Delhi Expy', 'Dwarka Expy', 'Euro International School, Sec 84', 'DPG Degree College', 'Aarvy Healthcare Super Speciality', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']","Vatika gurgaon 21 is one of gurgaon's most sought after destination for apartments and this 3 bhk flat in sector 83 gurgaon is your opportunity to be a part of this community. Constructed on a super built up area of 1735 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 2 balconies. This flat is situated on the 14th floor of this 18 floors tall residential building. As the project is already ready to move, so you can easily move into this 1-5 years old property.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking']","['Green Area5 out of 5', 'Construction4.5 out of 5', 'Management4 out of 5', 'Amenities3.5 out of 5', 'Connectivity4 out of 5']",M69428292
2 BHK Flat in Sector 84 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-alpha-corp-gurgaonone-84-sector-84-gurgaon-1270-sq-ft-spid-I69430670,Alpha Corp GurgaonOne 844.0 ★,85 Lac,"₹ 6,692/sq.ft.",Super Built up area 1270(117.99 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2 Bedrooms,2 Bathrooms,3 Balconies,,"Sector 84 Gurgaon, Gurgaon, Haryana",6th   of 26 Floors,West,1 to 5 Year Old,"['Delhi Public School', 'Raheja Market', 'Sapphire Mall', 'INXT High Street', 'Cambridge Pre-School', 'Euro Int. School', 'Genesis Hospital', 'HDFC Bank', 'Society Park', 'Dishoom Cinemas']","Available for sale 2 bhk 1270 middel floor semifurnished flat on sale sector 84 near by national highways 8 and dwarka expressway
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['2 Wardrobe', '4 Fan', '1 Exhaust Fan', '2 Geyser', '7 Light', '1 Modular Kitchen', '1 Curtains', '1 Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities4 out of 5', 'Connectivity4 out of 5']",I69430670
3 BHK Flat in Sector 84 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-alpha-corp-gurgaonone-84-sector-84-gurgaon-1963-sq-ft-spid-A69430888,Alpha Corp GurgaonOne 844.0 ★,1.49 Crore,"₹ 7,590/sq.ft.",Super Built up area 1963(182.37 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3 Bedrooms,3 Bathrooms,3 Balconies,Servant Room,"Sector 84 Gurgaon, Gurgaon, Haryana",6th   of 26 Floors,South-East,1 to 5 Year Old,"['Delhi Public School', 'Raheja Market', 'Sapphire Mall', 'INXT High Street', 'Cambridge Pre-School', 'Euro Int. School', 'Genesis Hospital', 'HDFC Bank', 'Society Park', 'Dishoom Cinemas']","Alpha corp gurgaonone 84 is one of gurgaon's most sought after destination for apartments and this 3 bhk flat in sector 84 gurgaon is your opportunity to be a part of this community. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1963 sq.Ft. This flat is situated on the 6th floor of this 26 floors tall residential building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities4 out of 5', 'Connectivity4 out of 5']",A69430888
4 BHK Flat in Sector 53 Gurgaon,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-parsvnath-exotica-sector-53-gurgaon-3390-sq-ft-spid-I69204972,Parsvnath Exotica3.7 ★,6.5 Crore,"₹ 19,174/sq.ft.",Super Built up area 3390(314.94 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),4 Bedrooms,5 Bathrooms,3+ Balconies,"Pooja Room,Study Room,Servant Room","Sector 53 Gurgaon, Gurgaon, Haryana",10th   of 18 Floors,South,1 to 5 Year Old,"['Sector 53-54 Metro Station', 'Sahara Mall', 'Golf Course Road', 'Mehrauli-Gurgaon Rd', 'Shiv Nadar School', 'Sushant University', 'Indira Gandhi International Airport', 'Surajgarh Gurgaon', 'Duke Horse Riding Club', 'Ramada by Wyndham Gurgaon', 'Fun N Food Village', 'DLF Golf and Country Club', 'PVR Drive in Theatre', 'SkyJumper Trampoline Park', 'F9 Go Karting Gurgaon']","It is 4 bhk apartment for sale in exotica. 4 bhk with good interior and well maintained flat. View is lovely from balcony and master b droom. There is large drawing and dining room.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['7 Wardrobe', '1 Water Purifier', '6 Fan', '1 Exhaust Fan', '6 Geyser', '1 Washing Machine', '14 Light', '6 AC', '1 Chimney', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Green Area4 out of 5', 'Construction4 out of 5', 'Management4 out of 5', 'Amenities4 out of 5', 'Connectivity3 out of 5']",I69204972
4 BHK Flat in Sector 92 Gurgaon,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sare-homes-sector-92-gurgaon-2266-sq-ft-spid-K69810986,Sare Homes,1.18 Crore,"₹ 5,207/sq.ft.",Carpet area: 2266 (210.52 sq.m.),4 Bedrooms,4 Bathrooms,3 Balconies,Servant Room,"802, Sector 92 Gurgaon, Gurgaon, Haryana",8th   of 21 Floors,North,1 to 5 Year Old,"['Yadav Clinic', 'Bangali Clinic', 'Dr. J. S. Sarkar Clinic', 'Sagar Clinic', 'Vijay Petrol Pump', 'HP Petrol Pump', 'Essar Petrol Pump', 'Indian Oil']","Sare homes is one of gurgaon's most sought after destination for apartments and this 4 bhk flat in sector 92 gurgaon is your opportunity to be a part of this community. This residential flat is north-East-Facing direction. The flat occupies a carpet area of 2266 sq.Ft. That consists of 4 bedrooms, 4 bathrooms and 3 balconies. The flat has a total of 21 floors and this property is situated on 8th floor. As the project is already ready to move, so you can easily move into this 1-5 years old property. The floor of this flat is beautifully designed using wood flooring, giving the flat an alluring look. The society is well equipped with many modern amenities, including maintenance staff, park, visitor parking, lift(s), water softening plant, shopping centre, swimming pool and fitness centre / gym. The housing society ensures a continuous supply of water to your flat from borewell/tank and municipal corporation.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']","['Environment5 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety3 out of 5']",K69810986
3 BHK Flat in Sector 92 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sare-homes-sector-92-gurgaon-1523-sq-ft-spid-O69809178,Sare Homes,80 Lac,"₹ 5,252/sq.ft.",Carpet area: 1523 (141.49 sq.m.),3 Bedrooms,3 Bathrooms,3 Balconies,Study Room,"702, Sector 92 Gurgaon, Gurgaon, Haryana",7th   of 21 Floors,North-West,1 to 5 Year Old,"['Yadav Clinic', 'Bangali Clinic', 'Dr. J. S. Sarkar Clinic', 'Sagar Clinic', 'Vijay Petrol Pump', 'HP Petrol Pump', 'Essar Petrol Pump', 'Indian Oil']","Looking for a 3 bhk property for sale in gurgaon? Buy this 3 bhk flat in sare homes that is situated in sector 92 gurgaon. This residential flat is north-West-Facing direction. Containing 3 bedroom(s), 3 bathrooms and 3 balconies, this flat is spread over a carpet area of 1523 sq.Ft. The flat has a total of 21 floors and this property is situated on 7th floor. This is a ready to move project and the property is 1-5 years old. The wood flooring of this flat is beautifully designed and helps to give it a pleasing look. The society is well equipped with many modern amenities, including maintenance staff, park, visitor parking, lift(s), shopping centre, swimming pool and water softening plant. The project provides a continuous supply of water to its flats.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['1 Wardrobe', '1 Water Purifier', '5 Fan', '1 Exhaust Fan', '1 Geyser', '6 Light', '1 Chimney', '1 Curtains', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']","['Environment5 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety3 out of 5']",O69809178
4 BHK Flat in Sector 83 Gurgaon,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-vatika-gurgaon-21-sector-83-gurgaon-2390-sq-ft-r1-spid-V65295042,Vatika Gurgaon 213.7 ★,1.42 Crore,"₹ 8,875/sq.ft.",Super Built up area 2390(222.04 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),4 Bedrooms,4 Bathrooms,3 Balconies,"Study Room,Servant Room","Block A, Sector 83 Gurgaon, Gurgaon, Haryana",7th   of 14 Floors,South-West,1 to 5 Year Old,"['Huda Metro Station (Gurugram)', 'Sapphire 83 Mall', 'Vatika Sector Road', 'Gurgaon - Delhi Expy', 'Dwarka Expy', 'Euro International School, Sec 84', 'DPG Degree College', 'Aarvy Healthcare Super Speciality', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']","This is a 4 bhk row flat the flat occupies a super built-Up area of 2390 sq.Ft. That consists of 4 bedrooms, 4 bathrooms and 3 balconies. The residential building has 14 floors total, this is a ready-To-Move project; The property is around 8 years old. The beautifully designed vitrified & wooden flooring.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Green Area5 out of 5', 'Construction4.5 out of 5', 'Management4 out of 5', 'Amenities3.5 out of 5', 'Connectivity4 out of 5']",V65295042
